episode: 327, score: -21.67, reward gate: 0, average score: -0.26, steps: 53
episode: 328, score: -11.5, reward gate: 1, average score: -0.26, steps: 52
episode: 329, score: -11.11, reward gate: 1, average score: -0.26, steps: 53
episode: 330, score: -10.97, reward gate: 1, average score: -0.26, steps: 54
episode: 331, score: -11.11, reward gate: 1, average score: -0.26, steps: 53
episode: 332, score: -11.11, reward gate: 1, average score: -0.26, steps: 53
episode: 333, score: -11.11, reward gate: 1, average score: -0.26, steps: 53
episode: 334, score: -11.1, reward gate: 1, average score: -0.26, steps: 53
episode: 335, score: -11.24, reward gate: 1, average score: -0.26, steps: 52
episode: 336, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 337, score: -11.24, reward gate: 1, average score: -0.26, steps: 52
episode: 338, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 339, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 340, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 341, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 342, score: -9.03, reward gate: 1, average score: -0.25, steps: 68
episode: 343, score: -11.39, reward gate: 1, average score: -0.25, steps: 53
episode: 344, score: -11.4, reward gate: 1, average score: -0.25, steps: 51
episode: 345, score: -11.4, reward gate: 1, average score: -0.25, steps: 51
episode: 346, score: -11.4, reward gate: 1, average score: -0.25, steps: 53
episode: 347, score: -11.4, reward gate: 1, average score: -0.25, steps: 51
episode: 348, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 349, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 350, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 351, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 352, score: -11.14, reward gate: 1, average score: -0.26, steps: 53
episode: 353, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 354, score: -11.79, reward gate: 1, average score: -0.26, steps: 50
episode: 355, score: -11.4, reward gate: 1, average score: -0.26, steps: 51
episode: 356, score: -11.27, reward gate: 1, average score: -0.26, steps: 57
episode: 357, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 358, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 359, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 360, score: -11.4, reward gate: 1, average score: -0.27, steps: 51
episode: 361, score: -11.4, reward gate: 1, average score: -0.27, steps: 53
episode: 362, score: -22.0, reward gate: 0, average score: -0.38, steps: 48
episode: 363, score: -11.4, reward gate: 1, average score: -0.38, steps: 51
episode: 364, score: -10.66, reward gate: 1, average score: -0.37, steps: 57
episode: 365, score: -11.39, reward gate: 1, average score: -0.37, steps: 54
episode: 366, score: -11.32, reward gate: 1, average score: -0.37, steps: 53
episode: 367, score: -11.4, reward gate: 1, average score: -0.41, steps: 51
episode: 368, score: -22.0, reward gate: 0, average score: -0.79, steps: 48
episode: 369, score: -22.0, reward gate: 0, average score: -0.92, steps: 48
episode: 370, score: -11.4, reward gate: 1, average score: -1.88, steps: 52
episode: 371, score: -11.4, reward gate: 1, average score: -11.56, steps: 52
episode: 372, score: -22.13, reward gate: 0, average score: -11.68, steps: 48
episode: 373, score: -22.0, reward gate: 0, average score: -11.79, steps: 48
episode: 374, score: -22.0, reward gate: 0, average score: -11.91, steps: 48
episode: 375, score: -22.0, reward gate: 0, average score: -12.03, steps: 48
episode: 376, score: -22.0, reward gate: 0, average score: -12.14, steps: 48
episode: 377, score: -22.03, reward gate: 0, average score: -12.26, steps: 50
episode: 378, score: -22.35, reward gate: 0, average score: -12.37, steps: 52
episode: 379, score: -22.0, reward gate: 0, average score: -12.48, steps: 48
episode: 380, score: -22.0, reward gate: 0, average score: -12.59, steps: 48
episode: 381, score: -22.0, reward gate: 0, average score: -12.7, steps: 48
episode: 382, score: -22.0, reward gate: 0, average score: -12.81, steps: 48
episode: 383, score: -21.96, reward gate: 0, average score: -12.93, steps: 52
episode: 384, score: -11.46, reward gate: 1, average score: -12.93, steps: 54
episode: 385, score: -22.0, reward gate: 0, average score: -13.05, steps: 48
episode: 386, score: -22.0, reward gate: 0, average score: -13.16, steps: 48
episode: 387, score: -22.0, reward gate: 0, average score: -13.27, steps: 49
episode: 388, score: -22.0, reward gate: 0, average score: -13.38, steps: 48
episode: 389, score: -22.0, reward gate: 0, average score: -13.49, steps: 48
episode: 390, score: -22.0, reward gate: 0, average score: -13.59, steps: 48
episode: 391, score: -22.0, reward gate: 0, average score: -13.7, steps: 48
episode: 392, score: -22.0, reward gate: 0, average score: -13.81, steps: 48
episode: 393, score: -22.0, reward gate: 0, average score: -13.92, steps: 48
episode: 394, score: -22.0, reward gate: 0, average score: -14.03, steps: 48
episode: 395, score: -21.88, reward gate: 0, average score: -14.13, steps: 50
episode: 396, score: -22.0, reward gate: 0, average score: -14.24, steps: 48
episode: 397, score: -22.0, reward gate: 0, average score: -14.35, steps: 48
